delta_over_gamma_e,Re_chi_full,Im_chi_full,Re_chi_cut,Im_chi_cut,Re_R_S,Im_R_S
-1.117,0.47810787150273243,-0.49886822097596206,0.44490140762356356,-0.4969548723155205,0.03320646387916887,-0.0019133486604415717
-1.1159999999999999,0.47861631726401377,-0.49888839359391446,0.44534384107281555,-0.4970037266372621,0.03327247619119822,-0.0018846669566523477
-1.115,0.47912537931358506,-0.49890806642781077,0.4457867579043564,-0.4970522350633574,0.033338621409228664,-0.0018558313644533864
-1.1139999999999999,0.47963505810576484,-0.4989272376417173,0.4462301583760078,-0.49710039643087267,0.03340489972975702,-0.001826841210844643
-1.113,0.4801453540929651,-0.4989459053941259,0.44667404274402583,-0.4971482095741007,0.03347131134893927,-0.0017976958200252025
-1.1119999999999999,0.4806562677256758,-0.4989640678379384,0.4471184112630917,-0.49719567332455794,0.033537856462584115,-0.0017683945133804557
-1.111,0.48116779945244725,-0.4989817231204534,0.44756326418630094,-0.49724278651098036,0.03360453526614632,-0.0017389366094730518
-1.1099999999999999,0.4816799497198748,-0.4989988693833506,0.448008601765154,-0.49728954795932084,0.03367134795472082,-0.0017093214240297416
-1.109,0.48219271897258187,-0.49901550476267614,0.44845442424954524,-0.49733595649274565,0.03373829472303663,-0.0016795482699304976
-1.1079999999999999,0.48270610765320365,-0.49903162738882806,0.44890073188775326,-0.4973820109316306,0.033805375765450396,-0.001649616457197467
-1.107,0.48322011620236976,-0.4990472353865413,0.44934752492643065,-0.4974277100935587,0.03387259127593911,-0.0016195252929825932
-1.1059999999999999,0.48373474505868824,-0.4990623268748731,0.4497948036105929,-0.49747305279331566,0.03393994144809537,-0.0015892740815574569
-1.105,0.48424999465872864,-0.4990768999671881,0.45024256818360897,-0.4975180378428879,0.03400742647511967,-0.001558862124300231
-1.1039999999999999,0.48476586543700456,-0.49909095277114307,0.4506908188871903,-0.49756266405145805,0.03407504654981425,-0.0015282887196850226
-1.103,0.48528235782595713,-0.4991044833886729,0.45113955596138067,-0.4976069302254029,0.034142801864576466,-0.0014975531632699934
-1.1019999999999999,0.4857994722559377,-0.4991174899159743,0.4515887796445454,-0.497650835168289,0.03421069261139231,-0.0014666547476853142
-1.101,0.4863172091551906,-0.4991299704434929,0.4520384901733613,-0.49769437768087077,0.034278718981829326,-0.0014355927626221177
-1.0999999999999999,0.48683556894983576,-0.49914192305590543,0.45248868778280554,-0.49773755656108604,0.03434688116703022,-0.001404366494819398
-1.099,0.4873545520638519,-0.4991533458321079,0.4529393727061452,-0.49778037060405356,0.034415179357706716,-0.0013729752280543517
-1.0979999999999999,0.4878741589190583,-0.49916423684519834,0.4533905451749272,-0.49782281860207006,0.03448361374413106,-0.0013414182431282784
-1.097,0.48839438993509704,-0.499174594162462,0.45384220541896664,-0.4978648993446064,0.0345521845161304,-0.001309694817855589
-1.0959999999999999,0.4889152455294171,-0.49918441584535744,0.45429435366633725,-0.4979066116183056,0.03462089186307987,-0.0012778042270518708
-1.095,0.48943672611725386,-0.49919369994949986,0.454746990143359,-0.49794795420697807,0.03468973597389485,-0.0012457457425217866
-1.0939999999999999,0.48995883211161384,-0.49920244452464785,0.45520011507458913,-0.49798892589160043,0.03475871703702471,-0.0012135186330474168
-1.093,0.4904815639232552,-0.4992106476146863,0.45565372868280996,-0.49802952545031126,0.03482783524044525,-0.001181122164375048
-1.0919999999999999,0.4910049219606698,-0.4992183072576124,0.45610783118901843,-0.4980697516584081,0.03489709077165137,-0.0011485555992042928
-1.091,0.4915289066300657,-0.4992254214855204,0.4565624228124154,-0.49810960328834514,0.03496648381765033,-0.0011158181971752668
-1.0899999999999999,0.4920535183353491,-0.49923198832458565,0.45701750377039446,-0.4981490791097299,0.03503601456495464,-0.001082909214855765
-1.089,0.4925787574781042,-0.49923800579505,0.4574730742785306,-0.49818817788931985,0.03510568319957358,-0.0010498279057301607
-1.0879999999999999,0.4931046244575778,-0.49924347191120644,0.4579291345505701,-0.4982268983910202,0.035175489907007695,-0.001016573520186248
-1.087,0.49363111967065737,-0.49924838468138366,0.45838568479841796,-0.49826523937588035,0.03524543487223941,-0.000983145305503308
-1.0859999999999999,0.49415824351185544,-0.4992527421079307,0.45884272523212855,-0.4983031996020916,0.0353155182797269,-0.0009495425058391183
-1.085,0.49468599637328853,-0.49925654218720145,0.4593002560598928,-0.49834077782498365,0.03538574031339575,-0.0009157643622177969
-1.0839999999999999,0.4952143786446603,-0.49925978290954026,0.45975827748802794,-0.49837797279702223,0.035456101156632336,-0.0008818101125180333
-1.083,0.49574339071324114,-0.4992624622592645,0.46021678972096597,-0.4984147832678061,0.03552660099227517,-0.0008476789914584337
-1.0819999999999999,0.49627303296384984,-0.49926457821465137,0.4606757929612425,-0.4984512079840643,0.03559724000260733,-0.0008133702305870849
-1.081,0.49680330577883436,-0.4992661287479214,0.46113528740948495,-0.49848724568965325,0.03566801836934941,-0.000778883058268176
-1.08,0.49733420953805285,-0.4992671118252225,0.46159527326440175,-0.498522895125554,0.0357389362736511,-0.0007442166996685096
-1.079,0.4978657446188534,-0.49926752540661534,0.4620557507227708,-0.49855815502986967,0.03580999389608264,-0.0007093703767456772
-1.0779999999999998,0.49839791139605644,-0.49926736744605743,0.46251671997942734,-0.4985930241378226,0.0358811914166291,-0.0006743433082348482
-1.077,0.49893071024193275,-0.4992666358913876,0.46297818122725337,-0.49862750118175186,0.03595252901467938,-0.0006391347096357247
-1.076,0.4994641415261862,-0.49926532868431023,0.4634401346571655,-0.49866158489111007,0.036024006869020686,-0.0006037437932001621
-1.075,0.4999982056159329,-0.4992634437603806,0.4639025804581038,-0.49869527399246155,0.0360956251578291,-0.0005681697679190689
-1.0739999999999998,0.5005329028756812,-0.49926097904898725,0.4643655188170196,-0.498728567209479,0.0361673840586616,-0.0005324118395082511
-1.073,0.5010682336673121,-0.49925793247333905,0.4648289499188641,-0.49876146326294113,0.03623928374844804,-0.0004964692103979207
-1.072,0.5016041983500592,-0.499254301950447,0.4652928739465769,-0.4987939608707305,0.03631132440348228,-0.0004603410797164864
