Gamma_over_gamma_e,abs_R_full_optical,abs_R_all_coherences,abs_R_selective_e2,abs_R_class_I
6.108761607505033,0.043197352554928126,0.0002576210743061736,0.7610787826608529,5.642100806456288e-17
6.44710210732387,0.0399262578371881,0.00022251048047733363,0.7610074153547186,9.512450787349817e-18
6.804181968927094,0.036875953752960655,0.00019205034694334906,0.7610103033345068,0.0
7.181039092537349,0.034035111565121595,0.00016564848493406468,0.7610895390786294,1.3877787807814457e-17
7.578768863625922,0.031392452781345476,0.00014278397309750186,0.7612463789012381,1.3877787807814457e-17
7.998527336796708,0.0289368341761904,0.00012299929340565472,0.761481196073575,0.0
8.441534596012977,0.02665732354753333,0.00010589321327092148,0.7617934575629459,1.5526445343598245e-17
8.909078300934134,0.02454326553768889,9.111436391356749e-05,0.762181725878587,0.0
9.402517429670123,0.02258433714799869,7.835546459062567e-05,0.7626436862391953,1.5158116792889345e-17
9.923286228832545,0.02077059287542595,6.734814274920804e-05,0.7631761979698689,5.6958381557074494e-18
10.472898382363585,0.019092499685694944,5.785830132752856e-05,0.7637753678040947,0.0
11.05295141126021,0.0175409622959483,4.9681986135972544e-05,0.7644366417089252,4.953436490877027e-18
11.665131316981961,0.01610733945930847,4.2641708375150124e-05,0.7651549110487819,1.3877787807814457e-17
12.311217482038895,0.014783452115884258,3.658317976267134e-05,0.7659246284074404,1.3877787807814457e-17
12.993087842004158,0.01356158439513576,3.137242034969526e-05,0.7667399282180952,3.982478053542957e-18
13.712724343983995,0.012434478522374864,2.6893201822811242e-05,0.7675947474950484,1.436116494570596e-17
14.472218707411344,0.011395324700288596,2.3044791839280277e-05,0.7684829423767281,1.4293850575656147e-17
15.273778503907124,0.010437747010368677,1.9739967675977527e-05,0.7693983968173626,6.938893903907228e-18
16.11973357388157,0.009555786316704154,1.69032701412019e-05,0.7703351205316222,1.4183698733854744e-17
17.012542798525875,0.008743881064601888,1.4469471270903073e-05,0.7712873341288442,6.938893903907228e-18
17.954801246878304,0.007996846758085091,1.2382231780285377e-05,0.7722495402030946,7.374272865657335e-18
18.949247718738196,0.007309854782177967,1.0592926552796569e-05,0.7732165799160385,2.300512926393915e-18
19.99877270535285,0.006678411115678157,9.059618610369997e-06,0.7741836752802069,6.938893903907228e-18
21.106426791015526,0.006098335364134423,7.746164015969062e-06,0.7751464578954453,7.207052045371262e-18
22.275429519995562,0.00556574043570398,6.621432010140169e-06,0.7761009853007342,7.807387413272549e-18
23.509178754572844,0.00507701308763967,5.658626381149971e-06,0.777043746379192,0.0
24.81126055137768,0.0046287954900953495,4.8346956160447545e-06,0.7779716574073248,0.0
26.185459584742325,0.004217967887285822,4.129820785425092e-06,0.778882050387974,6.938893903907228e-18
27.635770147361573,0.0038416323833867054,3.526971385386214e-06,0.7797726552705213,0.0
29.16640776023704,0.003497097840821564,3.0115205026586464e-06,0.7806415775629891,6.938893903907228e-18
30.78182142565077,0.0031818658502375703,2.5709116959364855e-06,0.781487272698741,1.0549691869065436e-18
32.486706558783744,0.002893617712769683,2.1943709025044147e-06,0.7823085183531876,6.938893903907228e-18
34.28601863556583,0.00263020236434288,1.8726574973336232e-06,0.7831043857278062,3.578962424814523e-18
36.18498759642746,0.002389625167038434,1.5978493580113112e-06,0.78387421064128,3.5606783744405946e-18
38.1891330478185,0.002170037492391554,1.3631574330865255e-06,0.7846175650989188,0.0
40.30428030568051,0.001969727024535743,1.1627658806442562e-06,0.7853342298572473,3.5324114588802574e-18
42.53657732750383,0.0017871087162359138,9.916943467782374e-07,0.7860241683640021,0.0
44.89251258218603,0.001620716337152817,8.456793954532908e-07,0.7866875023361058,5.490147214698059e-19
47.37893390963139,0.0014691945604658383,7.210724905340345e-07,0.7873244891395629,3.5051135959011465e-18
50.0030684249109,0.0013312915407418513,6.147522710436877e-07,0.7879355010546962,3.498874069890167e-18
52.77254352483532,0.0012058519423304673,5.240491595020718e-07,0.7885210064461753,0.0
55.6954090580013,0.0010918103833709905,4.4668060405966214e-07,0.7890815528080178,3.469446951953614e-18
58.780160722749116,0.0009881852655980626,3.806954824211004e-07,0.7896177516171309,3.4858524234205366e-18
62.035764761042685,0.0008940729644910308,3.244263944237638e-07,0.7901302649030219,3.482918966868056e-18
65.47168402004736,0.0008086423579391438,2.764487424123848e-07,0.7906197934241471,2.771465131724199e-19
69.09790545715639,0.0007311296745412857,2.355456487760416e-07,0.7910870663312676,1.7527690910313115e-18
72.92496916841444,0.0006608336449965814,2.006778902430035e-07,0.7915328321936308,2.269818710399514e-19
76.96399902471151,0.0005971109418532957,1.7095814154615255e-07,0.791957851263488,2.0528843245549888e-19
81.22673500479712,0.0005393718942538461,1.456289188528635e-07,0.7923628888573002,1.7446236851630795e-18
85.72556731909316,0.00048707646532616185,1.2404369805456738e-07,0.7927487097370773,1.734723475976807e-18
90.47357242349293,0.0004397304806023276,1.056507563327824e-07,0.793116073381895,1.5153639490133463e-19
95.48455102782283,0.0003968820963628046,8.997934845130862e-08,0.7934657300471799,0.0
100.77306820944597,0.0003581184971662622,7.662788398256383e-08,0.7937984175173864,1.734723475976807e-18
106.35449574860112,0.00032306281208079767,6.525381868877957e-08,0.7941148584658708,0.0
112.24505680853059,0.0002913712393207146,5.556501380018219e-08,0.7944157583438454,0.0
118.46187309026824,0.00026273036914577994,4.731235189910424e-08,0.7947018037280993,1.734723475976807e-18
125.02301459914534,0.0002368546950201977,4.028342818519978e-08,0.7949736610645652,1.734723475976807e-18
131.9475521676706,0.0002134843031734292,3.429716173217318e-08,0.7952319757517324,7.38219489648463e-20
139.2556128874462,0.00019238273086637575,2.9199193538748905e-08,0.7954773715143004,6.654663779356787e-20
146.96843861124444,0.00017333498385130753,2.4857957320150382e-08,0.7957104500233294,1.734723475976807e-18
155.10844769528404,0.0001561457037261356,2.116132533959455e-08,0.7959317907244656,0.0
163.69930016117019,0.00014063747612419925,1.8013745635772812e-08,0.7961419508406239,0.0
172.76596646690348,0.00012664927094883498,1.5333799071627745e-08,0.7963414655198231,0.0
182.33480008684387,0.00011403500615504249,1.3052115018126547e-08,0.7965308481027132,8.682603876405308e-19
192.433614111598,0.00010266222689552094,1.1109593241881476e-08,0.796710590487755,8.680904083562736e-19
