two_photon_detuning_GHz,two_photon_detuning_MHz,A_control_off,transparency_reduction,A_control_on,C
-0.005025,-5.025,0.008676964579288187,1.513633381410476e-06,0.008675450945906778,0.0001744427290879464
-0.004999999999999999,-4.999999999999999,0.008676964579288187,1.5219184076548585e-06,0.008675442660880533,0.000175397559105826
-0.004975,-4.9750000000000005,0.008676964579288187,1.5302936383043518e-06,0.008675434285649883,0.00017636278497173364
-0.0049499999999999995,-4.949999999999999,0.008676964579288187,1.5387605410486344e-06,0.008675425818747138,0.0001773385758334934
-0.0049250000000000006,-4.925000000000001,0.008676964579288187,1.5473206153412479e-06,0.008675417258672847,0.0001783251044996408
-0.0049,-4.8999999999999995,0.008676964579288187,1.5559753932577104e-06,0.00867540860389493,0.00017932254753831833
-0.004874999999999999,-4.874999999999999,0.008676964579288187,1.564726440381429e-06,0.008675399852847807,0.00018033108537937479
-0.00485,-4.8500000000000005,0.008676964579288187,1.5735753567184652e-06,0.008675391003931469,0.00018135090241978987
-0.004824999999999999,-4.824999999999999,0.008676964579288187,1.5825237776422583e-06,0.008675382055510545,0.0001823821871325514
-0.0048000000000000004,-4.800000000000001,0.008676964579288187,1.5915733748694324e-06,0.008675373005913319,0.00018342513217911474
-0.004775,-4.7749999999999995,0.008676964579288187,1.6007258574679015e-06,0.00867536385343072,0.00018447993452558458
-0.004749999999999999,-4.749999999999999,0.008676964579288187,1.6099829728985045e-06,0.008675354596315289,0.00018554679556276107
-0.004725,-4.725,0.008676964579288187,1.6193465080914788e-06,0.008675345232780097,0.00018662592123020068
-0.004699999999999999,-4.699999999999999,0.008676964579288187,1.6288182905591341e-06,0.008675335760997629,0.00018771752214444948
-0.004675,-4.675000000000001,0.008676964579288187,1.638400189546135e-06,0.008675326179098641,0.00018882181373161037
-0.00465,-4.6499999999999995,0.008676964579288187,1.6480941172188927e-06,0.008675316485170968,0.0001899390163644178
-0.004624999999999999,-4.624999999999999,0.008676964579288187,1.6579020298955973e-06,0.008675306677258292,0.00019106935550399618
-0.0046,-4.6,0.008676964579288187,1.6678259293185334e-06,0.008675296753358869,0.00019221306184649114
-0.004574999999999999,-4.574999999999999,0.008676964579288187,1.677867863970357e-06,0.008675286711424217,0.00019337037147476756
-0.00455,-4.55,0.008676964579288187,1.6880299304361075e-06,0.008675276549357751,0.00019454152601537813
-0.0045249999999999995,-4.5249999999999995,0.008676964579288187,1.698314274812827e-06,0.008675266265013375,0.00019572677280101883
-0.0045000000000000005,-4.500000000000001,0.008676964579288187,1.708723094168697e-06,0.008675255856194018,0.00019692636503869094
-0.004475,-4.475,0.008676964579288187,1.7192586380537585e-06,0.008675245320650133,0.00019814056198380812
-0.004449999999999999,-4.449999999999999,0.008676964579288187,1.7299232100643074e-06,0.008675234656078123,0.00019936962912048918
-0.004425,-4.425,0.008676964579288187,1.740719169463219e-06,0.008675223860118724,0.00020061383834829696
-0.004399999999999999,-4.3999999999999995,0.008676964579288187,1.7516489328585186e-06,0.008675212930355329,0.00020187346817568947
-0.004375,-4.375,0.008676964579288187,1.7627149759426425e-06,0.008675201864312245,0.00020314880392046573
-0.00435,-4.35,0.008676964579288187,1.7739198352949603e-06,0.008675190659452893,0.0002044401379175024
-0.004324999999999999,-4.324999999999999,0.008676964579288187,1.7852661102502211e-06,0.008675179313177937,0.0002057477697340877
-0.004299999999999998,-4.299999999999998,0.008676964579288187,1.7967564648357654e-06,0.008675167822823352,0.00020707200639318062
-0.004275000000000001,-4.275000000000001,0.008676964579288187,1.8083936297804293e-06,0.008675156185658407,0.00020841316260493257
-0.00425,-4.25,0.008676964579288187,1.8201804045982568e-06,0.008675144398883589,0.00020977156100683022
-0.004225,-4.225,0.008676964579288187,1.8321196597502487e-06,0.008675132459628436,0.0002111475324128321
-0.004199999999999999,-4.199999999999999,0.008676964579288187,1.8442143388875806e-06,0.0086751203649493,0.00021254141607189437
-0.004174999999999998,-4.174999999999998,0.008676964579288187,1.8564674611798585e-06,0.008675108111827007,0.00021395355993629667
-0.004150000000000001,-4.150000000000001,0.008676964579288187,1.8688821237321698e-06,0.008675095697164455,0.00021538432094020177
-0.004125,-4.125,0.008676964579288187,1.8814615040949016e-06,0.008675083117784093,0.00021683406528890623
-0.0040999999999999995,-4.1,0.008676964579288187,1.894208862870444e-06,0.008675070370425317,0.00021830316875925694
-0.004074999999999999,-4.074999999999998,0.008676964579288187,1.9071275464211794e-06,0.008675057451741765,0.00021979201701174055
-0.004049999999999998,-4.049999999999998,0.008676964579288187,1.9202209896833257e-06,0.008675044358298504,0.0002213010059147724
-0.004025000000000001,-4.025,0.008676964579288187,1.933492719091468e-06,0.008675031086569095,0.00022283054188174196
-0.004,-4.0,0.008676964579288187,1.9469463556188665e-06,0.00867501763293257,0.00022438104222140132
-0.003974999999999999,-3.974999999999999,0.008676964579288187,1.960585617938858e-06,0.008675003993670249,0.00022595293550220922
-0.003949999999999999,-3.949999999999999,0.008676964579288187,1.974414325713022e-06,0.008674990164962475,0.0002275466619312848
-0.003924999999999998,-3.924999999999998,0.008676964579288187,1.9884364030120083e-06,0.008674976142885175,0.00022916267374864968
-0.0039000000000000007,-3.900000000000001,0.008676964579288187,2.0026558818752754e-06,0.008674961923406312,0.0002308014356374799
-0.003875,-3.875,0.008676964579288187,2.017076906016341e-06,0.008674947502382171,0.00023246342515112714
-0.0038499999999999993,-3.849999999999999,0.008676964579288187,2.0317037346804446e-06,0.008674932875553506,0.00023414913315770558
-0.0038249999999999985,-3.8249999999999984,0.008676964579288187,2.046540746661977e-06,0.008674918038541526,0.00023585906430309116
-0.0038000000000000013,-3.800000000000001,0.008676964579288187,2.061592444489375e-06,0.008674902986843699,0.00023759373749322106
-0.0037750000000000006,-3.7750000000000004,0.008676964579288187,2.0768634587856254e-06,0.008674887715829402,0.0002393536863966316
-0.00375,-3.75,0.008676964579288187,2.092358552812972e-06,0.008674872220735375,0.00024113945996822523
